id,split,age,education,default,balance,housing,loan,day,duration,campaign,pdays,previous,y,month_num,month_sin,month_cos,day_sin,day_cos,early_month,late_month,contact_intensity,avg_contact_duration,contacts_per_month,financial_stress,education_unknown,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,contact_telephone,contact_unknown,poutcome_other,poutcome_success,poutcome_unknown,season_spring,season_summer,season_winter,age_group,balance_group
1,labeled,31,3.0,0,460,0,0,28,13,14,-1,0,0,8,-0.8660254037844385,-0.5000000000000004,-0.5712682150947924,0.8207634412072763,0,1,0.3059960544785463,0.9285714285714286,1.75,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2
2,labeled,34,2.0,0,1826,1,0,20,203,2,-1,0,0,5,0.49999999999999994,-0.8660254037844387,-0.7907757369376986,-0.6121059825476627,0,1,0.10441405212640843,101.5,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,3
3,labeled,50,2.0,0,290,1,0,7,226,3,-1,0,0,8,-0.8660254037844385,-0.5000000000000004,0.9884683243281114,0.1514277775045767,1,0,0.137049963959179,75.33333333333333,0.375,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,2
4,labeled,42,2.0,0,1077,1,0,14,213,1,-1,0,0,5,0.49999999999999994,-0.8660254037844387,0.29936312297335804,-0.9541392564000488,0,0,0.08523654159869494,213.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,3
5,labeled,47,2.0,0,41,1,0,5,298,1,-1,0,0,5,0.49999999999999994,-0.8660254037844387,0.8486442574947509,0.5289640103269624,1,0,0.1199021207177814,298.0,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,2
6,labeled,48,3.0,0,6609,0,0,17,159,3,-1,0,0,6,1.2246467991473532e-16,-1.0,-0.2993631229733582,-0.9541392564000488,0,0,0.10972533100648735,53.0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,4
7,labeled,48,2.0,0,750,1,0,16,227,1,-1,0,0,4,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,0,0,0.09094616639477977,227.0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,2
8,labeled,33,0.0,0,18345,1,0,23,415,1,-1,0,0,5,0.49999999999999994,-0.8660254037844387,-0.9987165071710528,-0.05064916883871355,0,1,0.1676182707993475,415.0,0.2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,5
9,labeled,53,1.0,0,7280,1,0,30,153,1,-1,0,0,5,0.49999999999999994,-0.8660254037844387,-0.20129852008866114,0.9795299412524943,0,1,0.06076672104404568,153.0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,3,4
10,labeled,43,3.0,0,2883,0,0,20,230,1,-1,0,0,11,-0.5000000000000004,0.8660254037844384,-0.7907757369376986,-0.6121059825476627,0,1,0.09216965742251224,230.0,0.09090909090909091,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3
11,labeled,37,3.0,0,42,0,0,28,253,2,-1,0,0,1,0.49999999999999994,0.8660254037844387,-0.5712682150947924,0.8207634412072763,0,1,0.12480556925528283,126.5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2
12,labeled,37,2.0,0,1322,1,0,13,121,2,341,4,0,5,0.49999999999999994,-0.8660254037844387,0.48530196253108104,-0.8743466161445821,0,0,0.2448850075133153,60.5,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,3
13,labeled,38,1.0,0,504,1,1,12,122,1,-1,0,0,6,1.2246467991473532e-16,-1.0,0.6513724827222223,-0.758758122692791,0,0,0.04812398042414356,122.0,0.16666666666666666,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,2
14,labeled,30,2.0,0,0,1,0,18,131,6,363,9,0,5,0.49999999999999994,-0.8660254037844387,-0.4853019625310808,-0.8743466161445822,0,0,0.5593778711008697,21.833333333333332,1.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
15,labeled,29,3.0,0,27,1,0,14,107,4,371,3,0,5,0.49999999999999994,-0.8660254037844387,0.29936312297335804,-0.9541392564000488,0,0,0.242208749754642,26.75,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2
16,labeled,46,3.0,0,1366,1,0,17,308,3,-1,0,0,11,-0.5000000000000004,0.8660254037844384,-0.2993631229733582,-0.9541392564000488,0,0,0.17049205205053303,102.66666666666667,0.2727272727272727,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3
17,labeled,46,2.0,0,3538,1,0,12,235,2,-1,0,0,8,-0.8660254037844385,-0.5000000000000004,0.6513724827222223,-0.758758122692791,0,0,0.11746462308888804,117.5,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,3,3
18,labeled,31,3.0,0,2189,1,0,23,146,3,-1,0,0,5,0.49999999999999994,-0.8660254037844387,-0.9987165071710528,-0.05064916883871355,0,1,0.10442353655298,48.666666666666664,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,3
20,labeled,33,2.0,0,349,1,0,20,210,1,242,1,0,4,0.8660254037844387,-0.4999999999999998,-0.7907757369376986,-0.6121059825476627,0,1,0.1274913114405277,210.0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,2
21,labeled,28,3.0,0,316,1,0,27,4,4,-1,0,0,5,0.49999999999999994,-0.8660254037844387,-0.72479278722912,0.6889669190756865,0,1,0.06976744186046512,1.0,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2
22,labeled,38,3.0,0,0,0,0,6,39,2,-1,0,0,2,0.8660254037844386,0.5000000000000001,0.9377521321470804,0.3473052528448203,1,0,0.03752987594370044,19.5,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,1
23,labeled,41,2.0,0,1674,1,0,2,76,2,-1,0,0,6,1.2246467991473532e-16,-1.0,0.39435585511331855,0.9189578116202306,1,0,0.052619598619067495,38.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,2,3
25,labeled,37,2.0,0,83,0,0,21,191,1,-1,0,0,7,-0.4999999999999997,-0.8660254037844388,-0.8978045395707417,-0.44039415155763423,0,1,0.07626427406199021,191.0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,2
27,labeled,57,2.0,0,374,1,1,16,236,1,-1,0,0,7,-0.4999999999999997,-0.8660254037844388,-0.10116832198743204,-0.9948693233918952,0,0,0.09461663947797716,236.0,0.14285714285714285,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4,2
28,labeled,32,2.0,0,225,1,0,18,442,1,266,8,1,5,0.49999999999999994,-0.8660254037844387,-0.4853019625310808,-0.8743466161445822,0,0,0.5264557770054614,442.0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2
29,labeled,35,2.0,0,0,0,0,25,124,4,-1,0,0,8,-0.8660254037844385,-0.5000000000000004,-0.9377521321470804,0.3473052528448203,0,1,0.11870708296976365,31.0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1
30,labeled,32,3.0,0,549,1,0,22,72,1,-1,0,0,7,-0.4999999999999997,-0.8660254037844388,-0.9680771188662041,-0.2506525322587213,0,1,0.02773246329526917,72.0,0.14285714285714285,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2
32,labeled,39,2.0,0,0,1,0,27,63,3,-1,0,0,8,-0.8660254037844385,-0.5000000000000004,-0.72479278722912,0.6889669190756865,0,1,0.07057361811904853,21.0,0.375,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1
33,labeled,41,3.0,0,736,1,0,14,125,1,-1,0,0,5,0.49999999999999994,-0.8660254037844387,0.29936312297335804,-0.9541392564000488,0,0,0.04934747145187602,125.0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,2,2
34,labeled,58,3.0,0,2725,0,0,18,188,1,-1,0,0,6,1.2246467991473532e-16,-1.0,-0.4853019625310808,-0.8743466161445822,0,0,0.07504078303425775,188.0,0.16666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,4,3
35,labeled,34,2.0,0,337,1,0,6,154,2,197,6,0,2,0.8660254037844386,0.5000000000000001,0.9377521321470804,0.3473052528448203,1,0,0.3452999305575028,77.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2
36,labeled,39,2.0,0,912,0,0,5,20,1,-1,0,0,6,1.2246467991473532e-16,-1.0,0.8486442574947509,0.5289640103269624,1,0,0.006525285481239805,20.0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,2,2
37,labeled,41,2.0,0,3832,0,0,26,234,10,-1,0,0,4,0.8660254037844387,-0.4999999999999998,-0.8486442574947509,0.5289640103269624,0,1,0.3031033043742175,23.4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3
38,labeled,27,2.0,0,-245,1,1,4,344,2,-1,0,0,6,1.2246467991473532e-16,-1.0,0.72479278722912,0.6889669190756866,1,0,0.16191813042983422,172.0,0.3333333333333333,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1
39,labeled,53,2.0,0,749,1,0,16,343,4,-1,0,0,5,0.49999999999999994,-0.8660254037844387,-0.10116832198743204,-0.9948693233918952,0,0,0.20802192799423347,85.75,0.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,3,2
40,labeled,34,3.0,0,566,0,0,10,122,1,-1,0,0,8,-0.8660254037844385,-0.5000000000000004,0.8978045395707416,-0.4403941515576344,1,0,0.04812398042414356,122.0,0.125,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2
41,labeled,37,2.0,0,168,1,0,5,147,2,347,1,0,5,0.49999999999999994,-0.8660254037844387,0.8486442574947509,0.5289640103269624,1,0,0.12505381381163433,73.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2
42,labeled,73,1.0,0,800,0,0,23,427,1,182,2,1,10,-0.8660254037844386,0.5000000000000001,-0.9987165071710528,-0.05064916883871355,0,1,0.2594687566494078,427.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2
43,labeled,41,2.0,0,-250,1,0,3,147,2,-1,0,0,6,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763,1,0,0.08157555294206911,73.5,0.3333333333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,1
44,labeled,32,1.0,0,798,0,0,8,131,3,-1,0,0,8,-0.8660254037844385,-0.5000000000000004,0.9987165071710528,-0.05064916883871264,1,0,0.09830608141431768,43.666666666666664,0.375,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2
45,labeled,48,2.0,0,10,0,0,9,65,6,-1,0,0,6,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,1,0,0.1411567206646686,10.833333333333334,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,2
46,labeled,46,3.0,0,1413,1,0,19,93,1,189,8,0,11,-0.5000000000000004,0.8660254037844384,-0.651372482722222,-0.7587581226927911,0,0,0.38412298744591816,93.0,0.09090909090909091,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3
48,labeled,41,1.0,0,-195,1,1,6,42,1,-1,0,0,6,1.2246467991473532e-16,-1.0,0.9377521321470804,0.3473052528448203,1,0,0.015497553017944535,42.0,0.16666666666666666,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,1
49,labeled,33,2.0,0,-313,0,0,18,268,2,-1,0,0,5,0.49999999999999994,-0.8660254037844387,-0.4853019625310808,-0.8743466161445822,0,0,0.13092302439394515,134.0,0.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
50,labeled,31,2.0,0,167,0,0,27,81,3,-1,0,0,8,-0.8660254037844385,-0.5000000000000004,-0.72479278722912,0.6889669190756865,0,1,0.0779145642854433,27.0,0.375,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,2
53,labeled,35,2.0,0,270,0,1,10,144,5,-1,0,0,7,-0.4999999999999997,-0.8660254037844388,0.8978045395707416,-0.4403941515576344,1,0,0.15011950377480177,28.8,0.7142857142857143,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
55,labeled,44,3.0,0,2726,1,0,12,897,4,-1,0,1,5,0.49999999999999994,-0.8660254037844387,0.6513724827222223,-0.758758122692791,0,0,0.4339599377821617,224.25,0.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,3
56,labeled,41,3.0,0,186,1,0,11,117,2,-1,0,0,7,-0.4999999999999997,-0.8660254037844388,0.7907757369376989,-0.6121059825476626,0,0,0.06934064266474449,58.5,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,2,2
