LotArea,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,OpenPorchSF,EnclosedPorch,PoolArea,SalePrice,HasMiscFeature,HasGarage,TotalPorchSF,TotalBuiltArea,LivingAreaPerc,BuiltAreaRatio,WasRemod,Has2ndFloor,house_age_group,lot_size_category,house_quality_score,house_age,years_since_remod,garage_age,LandSlope_ord,MSZoning_ord,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Street_encoded,Utilities_encoded,Foundation_ord,Heating_ord,Electrical_ord,GarageType_ord,GarageFinish_ord,MiscFeature_ord
6173,1967.0,1967,876,902,0,902,0,1,3,1,6,0,1967.0,1,288,0,0,0,125500.0,0,1,0,1778,0.14612020087477726,1.9711751662971175,0,0,1,1,0,57.0,57,57.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
11200,1985.0,1985,1298,1298,0,1298,1,2,3,1,5,1,1985.0,2,403,26,0,0,180000.0,0,1,26,2596,0.11589285714285714,2.0,0,0,2,2,3,39.0,39,39.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
11924,2005.0,2006,1175,1182,1142,2324,1,3,4,1,11,2,2005.0,3,736,21,0,0,345000.0,0,1,21,3499,0.1949010399194901,1.5055938037865748,1,1,3,2,4,19.0,18,19.0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,4,4,3,4,3,0.0
6882,1914.0,2006,684,773,582,1355,0,1,3,1,7,0,0.0,0,0,0,115,0,127000.0,0,1,115,2039,0.1968904388259227,1.5047970479704798,1,1,0,1,0,110.0,18,2024.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,0,0,0.0
4280,1913.0,2002,440,694,0,694,0,1,2,1,4,1,1990.0,1,352,0,34,0,90350.0,0,1,34,1134,0.16214953271028038,1.6340057636887608,1,0,0,0,1,111.0,22,34.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,2,1,0.0
4800,1916.0,1990,1196,1196,0,1196,1,1,2,1,5,0,1957.0,2,440,0,0,0,109900.0,0,1,0,2392,0.24916666666666668,2.0,1,0,0,0,1,108.0,34,67.0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,2,2,1,0.0
16381,1969.0,1969,1844,1844,0,1844,1,2,3,1,7,1,1969.0,2,540,73,216,0,223000.0,0,1,289,3688,0.11256944020511568,2.0,0,0,1,3,3,55.0,55,55.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,2,0.0
2308,1974.0,1974,855,855,467,1322,0,2,3,1,6,1,1974.0,2,440,0,0,0,147000.0,0,1,0,2177,0.5727902946273831,1.646747352496218,0,1,1,0,3,50.0,50,50.0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
9738,1924.0,1950,784,949,272,1221,1,1,4,1,7,0,1965.0,1,392,0,236,0,104900.0,0,1,236,2005,0.12538508934072704,1.642096642096642,1,1,0,1,0,100.0,74,59.0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,3,5,1,0.0
9000,1971.0,1971,864,864,0,864,0,1,3,1,5,0,1974.0,2,528,0,0,0,120500.0,0,1,0,1728,0.096,2.0,0,0,1,1,1,53.0,53,50.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,2,1,0.0
