id,split,default,housing,loan,day,pdays,previous,y,age_group,campaign_intensity,duration_category,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,education_ordinal,has_education,contact_cellular,contact_unknown,marital_divorced,marital_single,poutcome_failure,poutcome_other,poutcome_success,balance_category_ordinal,economic_profile_ordinal,contact_history_ordinal,season_ordinal
1,labeled,0,0,0,28,-1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,0,0,3
2,labeled,0,1,0,20,-1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,3,1,0,2
3,labeled,0,1,0,7,-1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,0,3
4,labeled,0,1,0,14,-1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,3,1,0,2
5,labeled,0,1,0,5,-1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,2,1,0,2
6,labeled,0,0,0,17,-1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,4,0,0,2
7,labeled,0,1,0,16,-1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,0,2
8,labeled,0,1,0,23,-1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,2
9,labeled,0,1,0,30,-1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,4,1,0,2
10,labeled,0,0,0,20,-1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,3,0,0,4
11,labeled,0,0,0,28,-1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,0,0,0,2,0,0,1
12,labeled,0,1,0,13,341,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,3,1,2,2
13,labeled,0,1,1,12,-1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2,0,2
14,labeled,0,1,0,18,363,9,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,1,0,0,1,1,2,2
15,labeled,0,1,0,14,371,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,1,0,0,2,1,2,2
16,labeled,0,1,0,17,-1,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,3,1,0,4
17,labeled,0,1,0,12,-1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3,1,0,3
18,labeled,0,1,0,23,-1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,3,1,0,2
20,labeled,0,1,0,20,242,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,2,1,1,2
21,labeled,0,1,0,27,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,1,0,2
22,labeled,0,0,0,6,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,1,0,0,1
23,labeled,0,1,0,2,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,3,1,0,2
25,labeled,0,0,0,21,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,2,0,0,3
27,labeled,0,1,1,16,-1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,2,2,0,3
