Split,Id,LotArea,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,OpenPorchSF,EnclosedPorch,PoolArea,MiscFeature,SalePrice,mszoning_num,HasMiscFeature,HouseStyle_num,st_grvl_pave,ut_allpub_nosewa,land_slope_ord,roof_style_num,foundation_num,heating_num,electrical_num,central_air_num,garage_num,garage_finish_num,paveddrive_num
labeled,1,6173,1967.0,1967,876,902,0,902,0,1,3,1,6,0,1967.0,1,288,0,0,0,0,125500.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,2,11200,1985.0,1985,1298,1298,0,1298,1,2,3,1,5,1,1985.0,2,403,26,0,0,0,180000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,3,11924,2005.0,2006,1175,1182,1142,2324,1,3,4,1,11,2,2005.0,3,736,21,0,0,0,345000.0,3.0,0,5.0,1,1,0,3.0,3.0,3.0,3.0,1,4.0,3,1.0
labeled,4,6882,1914.0,2006,684,773,582,1355,0,1,3,1,7,0,0.0,0,0,0,115,0,0,127000.0,2.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,0.0,0,1.0
labeled,5,4280,1913.0,2002,440,694,0,694,0,1,2,1,4,1,1990.0,1,352,0,34,0,0,90350.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,0,2.0,1,0.5
labeled,6,4800,1916.0,1990,1196,1196,0,1196,1,1,2,1,5,0,1957.0,2,440,0,0,0,0,109900.0,2.0,0,1.0,1,1,0,2.0,2.0,3.0,2.0,1,2.0,1,1.0
labeled,7,16381,1969.0,1969,1844,1844,0,1844,1,2,3,1,7,1,1969.0,2,540,73,216,0,0,223000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,2,1.0
labeled,8,2308,1974.0,1974,855,855,467,1322,0,2,3,1,6,1,1974.0,2,440,0,0,0,0,147000.0,3.0,0,5.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,9,9738,1924.0,1950,784,949,272,1221,1,1,4,1,7,0,1965.0,1,392,0,236,0,0,104900.0,3.0,0,2.0,1,1,0,2.0,1.0,3.0,3.0,1,3.0,1,1.0
labeled,10,9000,1971.0,1971,864,864,0,864,0,1,3,1,5,0,1974.0,2,528,0,0,0,0,120500.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,2.0,1,1.0
labeled,11,10215,1954.0,1954,864,948,0,948,0,1,3,1,5,0,1954.0,1,248,0,0,0,0,111000.0,3.0,0,1.0,1,1,0,3.0,3.0,3.0,3.0,1,3.0,1,1.0
labeled,12,7742,1966.0,1966,955,955,0,955,1,1,3,1,6,0,1966.0,1,386,0,0,0,0,127000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,13,12546,1981.0,1981,1440,1440,0,1440,0,2,3,1,7,1,1981.0,2,467,0,99,0,0,182900.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,3,1.0
labeled,14,6442,2006.0,2006,1370,1370,0,1370,0,2,2,1,6,1,2006.0,2,484,49,0,0,0,202500.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,15,9591,2004.0,2005,1143,1143,1330,2473,0,2,4,1,9,1,2004.0,3,852,151,0,0,0,317000.0,3.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,4.0,2,1.0
labeled,16,12090,1984.0,2003,585,1140,728,1868,0,3,3,1,7,1,1984.0,2,477,112,0,0,0,178000.0,3.0,0,4.0,1,1,0,3.0,2.0,3.0,3.0,1,4.0,3,1.0
labeled,17,7800,1964.0,1964,912,912,0,912,0,1,2,1,5,0,1964.0,1,288,0,0,0,0,115000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,18,9531,1998.0,1998,794,882,914,1796,1,2,3,1,7,0,1998.0,2,546,36,0,0,0,211000.0,3.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,19,9600,1925.0,1990,728,832,809,1641,0,1,3,1,6,1,1925.0,2,546,0,234,0,0,178000.0,2.0,0,5.0,1,1,0,2.0,1.0,3.0,3.0,1,2.0,1,1.0
labeled,20,8849,2005.0,2005,1684,1684,0,1684,0,2,2,1,6,1,2005.0,2,564,72,0,0,0,266000.0,3.0,0,1.0,1,1,0,3.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,21,1491,1972.0,1972,630,630,0,630,1,1,1,1,3,0,0.0,0,0,24,0,0,0,75500.0,2.0,0,3.0,1,1,0,2.0,2.0,3.0,3.0,1,0.0,0,1.0
labeled,22,8320,2004.0,2004,770,770,812,1582,0,2,3,1,6,0,2004.0,2,520,45,0,0,0,185900.0,3.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,23,10637,2007.0,2008,1705,1718,0,1718,1,2,3,1,7,1,2007.0,3,826,44,0,0,0,297000.0,3.0,0,1.0,1,1,0,3.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,24,6324,1927.0,1950,520,520,0,520,0,1,1,1,4,0,1920.0,1,240,0,87,0,0,68500.0,2.0,0,1.0,1,1,0,2.0,1.0,3.0,3.0,0,2.0,1,1.0
labeled,25,9764,1967.0,2003,894,894,0,894,1,1,3,1,5,0,1967.0,2,450,0,0,0,0,130000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,2,1.0
labeled,26,7200,1931.0,2000,776,851,651,1502,0,1,3,1,6,1,1931.0,1,270,0,112,0,0,149000.0,3.0,0,5.0,1,1,1,2.0,1.0,3.0,3.0,1,3.0,2,0.5
labeled,27,8250,1968.0,1968,952,1211,0,1211,0,1,3,1,5,1,1968.0,1,322,63,0,0,0,134000.0,3.0,0,1.0,1,1,0,3.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,28,3182,2004.0,2005,1256,1269,0,1269,0,2,2,1,6,1,2004.0,2,430,20,0,0,0,192000.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,3,1.0
labeled,29,3180,2005.0,2005,600,520,600,1200,0,2,2,1,4,0,2005.0,2,480,166,0,0,0,151000.0,3.2,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,2.0,2,1.0
labeled,30,8525,1911.0,1950,940,1024,940,1964,0,1,4,1,7,0,0.0,0,0,192,0,0,0,130000.0,1.0,0,5.0,1,1,0,2.0,3.0,3.0,2.0,0,0.0,0,0.0
labeled,31,10420,2009.0,2009,1212,1212,0,1212,0,2,3,1,6,0,2009.0,2,460,22,0,0,0,186000.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
